Id,Player,DOB,Seasons,PER_avg_agg,GP_avg_rs,PER_avg_rs,PER_pct_rs,GP_avg_po,PER_avg_po,PER_pct_po
Youngtr01,Trae Young,9/19/1998,3.0,65.72409853076806,21.0,14.17873709749692,0.0007396004482163495,7.0,82.90588567519177,0.003417533042831603
Jordami01,Michael Jordan,2/17/1963,3.0,62.04493707428554,27.0,41.427262347508965,0.0008529897504111502,11.5,70.82653927272742,0.003176181707804047
Gordobe01,Ben Gordon,4/4/1983,11.0,57.55316880938966,21.636363636363637,22.855440674927202,0.0007757068192940105,5.0,65.57155136147132,0.0030711844417535775
Turneev01,Evan Turner,10/27/1988,9.0,50.49199888709354,20.666666666666668,14.025880095790322,0.0007389643642962082,4.5,58.432202172296655,0.0029285367023292267
Murraja01,Jamal Murray,2/23/1997,5.0,50.3130510296943,21.8,30.892010760276253,0.0008091494025404904,6.5,56.103728174245546,0.0028820126364334157
Ellismo01,Monta Ellis,10/26/1985,12.0,49.22245508056502,26.416666666666668,25.898730276069248,0.0007883708618828855,4.0,52.75412318976312,0.0028150858667321294
Arenagi01,Gilbert Arenas,1/6/1982,9.0,47.58864027648838,20.88888888888889,19.301788885034895,0.0007609190062655231,4.0,53.005271394000744,0.0028201039324753352
Holidjr01,Jrue Holiday,6/12/1990,12.0,47.44452528829885,22.916666666666668,13.701412181952081,0.0007376141557987885,4.75,54.43855236852345,0.0028487415975562936
Masonde01,Desmond Mason,10/11/1977,9.0,46.05017026463502,25.333333333333332,15.911576262989334,0.0007468113127306014,4.0,50.80889563331592,0.00277621925491072
Jamesle01,LeBron James,12/30/1984,18.0,45.9612361562548,26.38888888888889,46.06153543667001,0.0008722743534103485,7.0,45.93463045239729,0.0026788290179312556
Ewingpa02,Patrick Ewing,5/20/1984,5.0,44.76058326941481,19.8,31.582047954950717,0.0008120208546750445,5.5,48.42128752343262,0.0027285136601174955
Ewingpa01,Patrick Ewing,8/5/1962,5.0,44.76058326941481,19.8,31.582047954950717,0.0008120208546750445,5.5,48.42128752343262,0.0027285136601174955
Davisan02,Anthony Davis,3/11/1993,9.0,44.577494635466955,22.555555555555557,45.91723442676539,0.0008716738735433113,4.0,44.33990531287216,0.002646965618323155
Johnsla02,Larry Johnson,3/14/1969,4.0,44.504962226968175,22.75,18.29885162282249,0.000756745482918333,7.0,52.568380874397626,0.0028113746431037197
Johnsla01,Larry Johnson,11/28/1954,4.0,44.504962226968175,22.75,18.298851622822486,0.000756745482918333,7.0,52.568380874397626,0.0028113746431037197
Roziete01,Terry Rozier,3/17/1994,5.0,41.2286136042039,19.4,18.296080124153498,0.0007567339498794904,6.0,48.32114973205454,0.0027265128573562736
Bryanko01,Kobe Bryant,8/23/1978,19.0,38.43820251435321,24.842105263157894,38.13808397899942,0.0008393024907676446,6.230769230769231,38.51347670371264,0.0025305506835733324
Divacvl01,Vlade Divac,2/3/1968,6.0,38.078574072516076,21.5,24.537029546546105,0.0007827044159338994,4.75,41.07031065383503,0.0025816374946262812
